iter 43350: loss 1.9743, time 2809.26ms, mfu 1.38%
iter 43400: loss 2.0179, time 2612.72ms, mfu 1.39%
iter 43450: loss 2.0292, time 2639.98ms, mfu 1.40%
step 43500: train loss 1.8211, val loss 1.8120, val ppl 6.12
saving checkpoint to out-tinystories-ft
iter 43500: loss 2.0045, time 30398.38ms, mfu 1.27%
iter 43550: loss 1.9352, time 2597.43ms, mfu 1.30%
iter 43600: loss 1.8451, time 2726.57ms, mfu 1.31%
iter 43650: loss 1.9986, time 2555.97ms, mfu 1.33%
iter 43700: loss 1.8124, time 2711.98ms, mfu 1.35%
iter 43750: loss 1.9019, time 2681.81ms, mfu 1.36%
iter 43800: loss 1.9274, time 2591.67ms, mfu 1.37%
iter 43850: loss 1.9613, time 2512.54ms, mfu 1.39%
iter 43900: loss 1.9783, time 2668.62ms, mfu 1.40%
iter 43950: loss 1.8828, time 2562.81ms, mfu 1.41%
step 44000: train loss 1.8098, val loss 1.8084, val ppl 6.10
saving checkpoint to out-tinystories-ft
iter 44000: loss 1.9216, time 37955.15ms, mfu 1.28%
iter 44050: loss 1.9892, time 2970.75ms, mfu 1.28%
iter 44100: loss 1.9211, time 2858.27ms, mfu 1.29%
iter 44150: loss 1.7678, time 3111.47ms, mfu 1.29%
iter 44200: loss 1.9198, time 2850.18ms, mfu 1.30%
iter 44250: loss 1.8457, time 2819.37ms, mfu 1.31%
iter 44300: loss 1.9532, time 2806.62ms, mfu 1.32%
iter 44350: loss 1.8937, time 2929.59ms, mfu 1.32%
iter 44400: loss 1.9159, time 2996.00ms, mfu 1.32%
iter 44450: loss 1.8801, time 2956.42ms, mfu 1.32%
step 44500: train loss 1.8084, val loss 1.7926, val ppl 6.00
saving checkpoint to out-tinystories-ft
iter 44500: loss 1.9373, time 39356.41ms, mfu 1.20%
iter 44550: loss 1.8754, time 2911.77ms, mfu 1.21%
iter 44600: loss 1.9453, time 2986.70ms, mfu 1.22%
iter 44650: loss 1.9452, time 3075.85ms, mfu 1.23%
iter 44700: loss 1.8498, time 2847.67ms, mfu 1.24%
iter 44750: loss 1.8780, time 2789.13ms, mfu 1.26%
iter 44800: loss 1.8970, time 2898.97ms, mfu 1.27%
iter 44850: loss 1.8484, time 2855.97ms, mfu 1.28%
iter 44900: loss 1.8781, time 2900.70ms, mfu 1.29%
iter 44950: loss 1.8494, time 4193.00ms, mfu 1.25%
step 45000: train loss 1.7974, val loss 1.7903, val ppl 5.99
saving checkpoint to out-tinystories-ft
iter 45000: loss 1.8754, time 56733.42ms, mfu 1.13%
iter 45050: loss 1.8298, time 2595.33ms, mfu 1.17%
iter 45100: loss 1.9287, time 2521.47ms, mfu 1.21%
iter 45150: loss 1.9241, time 2517.00ms, mfu 1.24%
iter 45200: loss 1.9053, time 2522.85ms, mfu 1.27%
iter 45250: loss 1.8884, time 2648.66ms, mfu 1.29%
iter 45300: loss 1.9195, time 2595.17ms, mfu 1.32%
iter 45350: loss 1.9006, time 2682.68ms, mfu 1.33%
iter 45400: loss 1.8136, time 2770.81ms, mfu 1.34%
iter 45450: loss 1.8720, time 2648.77ms, mfu 1.35%
step 45500: train loss 1.7846, val loss 1.7888, val ppl 5.98
saving checkpoint to out-tinystories-ft
iter 45500: loss 1.9455, time 30614.35ms, mfu 1.23%
iter 45550: loss 1.9951, time 2633.58ms, mfu 1.26%
iter 45600: loss 1.8998, time 2743.10ms, mfu 1.27%
iter 45650: loss 1.7813, time 2574.57ms, mfu 1.30%
iter 45700: loss 1.8799, time 2520.16ms, mfu 1.32%
iter 45750: loss 1.8641, time 2529.56ms, mfu 1.35%
iter 45800: loss 1.9661, time 2641.56ms, mfu 1.36%
iter 45850: loss 1.9311, time 2293.14ms, mfu 1.40%
iter 45900: loss 1.9283, time 2235.30ms, mfu 1.43%
iter 45950: loss 1.9185, time 2610.06ms, mfu 1.44%
step 46000: train loss 1.7840, val loss 1.7692, val ppl 5.87
saving checkpoint to out-tinystories-ft
iter 46000: loss 1.8749, time 31007.24ms, mfu 1.31%
iter 46050: loss 1.7910, time 2466.51ms, mfu 1.34%
iter 46100: loss 1.8071, time 2650.22ms, mfu 1.35%
iter 46150: loss 1.8053, time 2582.70ms, mfu 1.37%
iter 46200: loss 1.7579, time 2603.97ms, mfu 1.38%
iter 46250: loss 1.8225, time 2518.88ms, mfu 1.40%
iter 46300: loss 1.9932, time 2551.36ms, mfu 1.41%
iter 46350: loss 1.8244, time 2616.74ms, mfu 1.42%
iter 46400: loss 1.8316, time 2775.28ms, mfu 1.42%
iter 46450: loss 1.9959, time 2602.48ms, mfu 1.43%
step 46500: train loss 1.7728, val loss 1.7659, val ppl 5.85
saving checkpoint to out-tinystories-ft
iter 46500: loss 1.9702, time 30428.52ms, mfu 1.30%
iter 46550: loss 1.8612, time 2581.50ms, mfu 1.32%
iter 46600: loss 1.8905, time 2495.09ms, mfu 1.35%
iter 46650: loss 1.8394, time 2723.99ms, mfu 1.35%
iter 46700: loss 1.7999, time 2500.93ms, mfu 1.38%
iter 46750: loss 1.9495, time 2545.37ms, mfu 1.39%
iter 46800: loss 1.7879, time 2623.22ms, mfu 1.40%
iter 46850: loss 1.9835, time 2626.32ms, mfu 1.41%
iter 46900: loss 1.9063, time 2709.85ms, mfu 1.42%
iter 46950: loss 1.8076, time 2844.03ms, mfu 1.41%
step 47000: train loss 1.7657, val loss 1.7623, val ppl 5.83
saving checkpoint to out-tinystories-ft
iter 47000: loss 1.8113, time 37960.05ms, mfu 1.28%
iter 47050: loss 1.7968, time 2811.58ms, mfu 1.29%
iter 47100: loss 1.8700, time 2815.08ms, mfu 1.30%
iter 47150: loss 1.8873, time 2812.63ms, mfu 1.31%
iter 47200: loss 1.9237, time 2819.79ms, mfu 1.32%
iter 47250: loss 1.8294, time 2925.00ms, mfu 1.32%
iter 47300: loss 1.9310, time 2881.44ms, mfu 1.33%
iter 47350: loss 2.0063, time 2982.73ms, mfu 1.32%
iter 47400: loss 1.8639, time 2828.37ms, mfu 1.33%
iter 47450: loss 1.8409, time 2910.42ms, mfu 1.33%
step 47500: train loss 1.7714, val loss 1.7611, val ppl 5.82
saving checkpoint to out-tinystories-ft
iter 47500: loss 1.7818, time 37940.45ms, mfu 1.21%
iter 47550: loss 1.8142, time 2810.69ms, mfu 1.23%
iter 47600: loss 1.7688, time 2884.17ms, mfu 1.24%
